dans	-70498.21174354406
qui	-53392.86847510448
sont	-36623.133375191595
elle	-26444.568697940776
pas	-22547.830693831136
deux	-22210.127343661778
fait	-20404.860431053407
entre	-16769.575424681054
Il	-16440.723848984486
comme	-13010.087397615329
dont	-12940.345780578893
leur	-12810.458634301278
nom	-12707.479429918363
sous	-12268.486572018755
premier	-11460.383630101405
tout	-11259.96166972652
ainsi	-9856.243768525535
oÃ¹	-9340.83226770472
temps	-8422.248688129814
tous	-8303.841956215942
trois	-7941.694449536379
contre	-7690.824957695091
rec	-7480.996926643772
lors	-7262.411861994444
autre	-7257.285552226653
tu	-7232.800837655081
puis	-7204.537900404487
faire	-7110.222679582064
sta	-7109.268419469105
annÃ©e	-7041.537820592104
cours	-6991.717237610512
lu	-6980.900941170379
suite	-6980.3176894952285
Ã¨re	-6958.433109530677
monde	-6929.999003155133
forme	-6581.540515930119
lieu	-6499.929840734647
pays	-6491.844565382027
Elle	-6360.482735608281
sse	-6310.157944431408
peu	-6213.710997731934
Ã©s	-6133.450192617506
eau	-6068.687454222898
aire	-5933.292289492978
192	-5900.219635695562
tÃ©	-5735.713065377389
celle	-5725.145890929065
permet	-5536.920724433798
lle	-5442.214635739197
titre	-5403.659686544523
famille	-5394.337865657797
bri	-5356.58567021872
xi	-5322.006589964406
Ã©g	-5295.4806239998225
trouve	-5172.408673869162
moins	-5109.73086019974
mort	-5012.567523577267
nord	-4965.296135677875
celui	-4897.7142825098235
ait	-4780.43632522388
tte	-4753.620681462004
rem	-4726.335150949915
doit	-4674.415158781482
donc	-4561.922535417667
mou	-4506.772931212173
roi	-4504.898316791681
compte	-4490.146941774432
gra	-4466.394813052706
itÃ©	-4405.766607654467
Ri	-4391.958416473784
jeu	-4391.182216175835
mÃ©	-4376.7814572512025
rou	-4355.8279844159115
mois	-4336.722136411315
reste	-4331.0756820037495
oli	-4320.894378001172
grande	-4300.151020374686
nÃ©	-4220.238765603011
Ni	-4186.22020859338
esti	-4137.360840036026
fils	-4064.117315152226
supp	-4052.852029067658
habitants	-4046.8074721335724
qua	-4034.6917478615223
adap	-4002.39427334637
zi	-3970.897910034412
cra	-3948.8214120872617
afin	-3944.5900191601486
voir	-3917.3131174263185
vit	-3888.2029747383895
tard	-3881.247168708709
origine	-3867.852590821978
Hi	-3826.0191283615773
dit	-3775.470439237761
rÃ©	-3753.8008368270666
vant	-3707.783134526251
chez	-3693.806875445492
femme	-3669.229653486652
accu	-3607.5680400940655
autor	-3583.318677555267
Dans	-3572.5563906565326
eu	-3534.0034732739277
chaque	-3530.1204356959993
retour	-3489.4272707585583
Fi	-3484.2452048222276
souvent	-3468.1709575053897
homme	-3461.5754579896447
dÃ©	-3452.062894840212
Ki	-3400.3861265753662
corps	-3398.574348073896
Ja	-3366.936219313692
184	-3358.828050037861
rela	-3346.107409461414
abord	-3339.9414213175396
vÃ©	-3300.652037644562
Ã¢ge	-3258.9972531705944
chef	-3235.5780438151514
iste	-3212.215213564743
sein	-3199.499073616338
lÃ©	-3193.8767896604445
cet	-3189.26261568219
aide	-3180.481384100991
enc	-3174.540769218957
bois	-3162.51796871664
mise	-3145.192964396194
atti	-3134.208101885402
sti	-3133.878671238568
nis	-3128.8942487808818
droit	-3108.4249019569424
duc	-3052.358004629456
sera	-3045.218463141852
finale	-3031.969343085606
inf	-3028.344927523593
roman	-2993.4151531190782
sÃ©	-2983.4065148677796
bord	-2968.351954837847
ayant	-2960.0241773637836
183	-2954.410385727066
produit	-2932.421144969073
rapport	-2928.825496656962
gÃ©	-2927.5836430526288
certains	-2923.7988011138277
Chi	-2863.1338145110267
cela	-2856.593871558763
gui	-2856.4321105321565
ceux	-2855.778033782294
mu	-2851.0864548632617
Ã©p	-2850.135075353162
tis	-2844.532658783898
pli	-2842.9092358048983
lance	-2836.5016871516955
amb	-2834.0931434529
parten	-2813.878706630168
nie	-2809.6626896583975
Sta	-2806.0636672082223
mont	-2796.0794043567207
ku	-2789.81348996914
dra	-2776.00690333495
Ã©d	-2767.2735332570905
rend	-2766.0075232466593
atta	-2755.1134186653035
communes	-2743.9931157335977
prix	-2741.9588090953603
rue	-2713.8066037801595
mesure	-2708.5053429703835
vou	-2702.287886509734
lis	-2670.950175872024
hui	-2655.078137927202
Ã©n	-2645.506608612871
soi	-2644.9215956715734
autour	-2628.8325291150977
tan	-2609.824837992866
pla	-2596.7243655382545
fu	-2589.2120163684413
millions	-2587.6596749410674
dic	-2575.6992755874844
isation	-2568.4199382328725
ferme	-2555.542023647162
gare	-2551.2567922734606
gue	-2545.409528424253
ordre	-2516.9466312665895
semble	-2515.2920008731653
fic	-2492.9130751024777
mettre	-2491.024259239555
teur	-2489.749639983612
Â».	-2485.857527375627
179	-2481.188372437987
jec	-2478.2521182839664
annu	-2467.588406442975
rs	-2464.264737981419
cinq	-2454.5506831065013
vu	-2449.5062624181924
lou	-2449.091388028841
gon	-2442.0477384158994
emb	-2431.414843384422
affi	-2430.595860704804
fille	-2416.8090592141752
sau	-2414.6268638064935
oi	-2414.0703983663243
loi	-2406.502862093138
bou	-2392.787559391749
sculp	-2379.353418136866
bourg	-2368.8137786238835
Ã®le	-2366.700930605815
Rou	-2360.4805504881106
selon	-2359.7904927469963
Bri	-2359.6943755429234
argent	-2350.750797148177
sion	-2313.787981457671
terre	-2310.45726351931
cro	-2297.608552204198
ici	-2289.0021872809566
voit	-2284.2039205551687
chant	-2281.8273038541342
lig	-2267.8820010905306
cen	-2267.3842999806666
marque	-2262.0021519645347
cla	-2260.9011674511294
lon	-2251.538472800374
ensuite	-2248.588011504039
agit	-2248.400923389482
propre	-2242.743126874077
porte	-2239.9929381103166
bru	-2230.651074155061
Ã¨ve	-2230.21388612583
mari	-2229.560646845146
offre	-2225.6656262311517
chemin	-2214.2884918697637
Ã©es	-2207.39464252613
nuit	-2205.935023839957
Nord	-2196.753806935869
ien	-2196.337185848023
Ã©r	-2195.433408232249
ais	-2193.9397469449505
sin	-2190.9247759357304
donne	-2186.4481679809987
chÃ©	-2184.2942297767977
pont	-2183.763003089075
Marc	-2177.7534479193732
deman	-2170.986249822816
ffe	-2165.055530177614
furent	-2163.1140572281024
isme	-2162.647428837946
pou	-2158.0243982137217
grands	-2155.8313961984977
combat	-2139.527936655604
densitÃ©	-2133.134618019086
nous	-2132.5799651515235
reti	-2130.361901452847
lant	-2128.3332082104403
ppe	-2126.9794939412795
termine	-2122.9887279778504
terme	-2104.5240527836568
Ã©mo	-2101.146480775138
Cu	-2099.613734547849
Mais	-2080.073416703409
dessus	-2073.4580537499646
Mari	-2071.604046117125
lac	-2071.435912761025
explo	-2071.323932057905
Tra	-2068.275603620858
Â»,	-2066.585328660549
situÃ©	-2065.3594589848167
bonne	-2064.0604933961586
fini	-2061.197835079428
neu	-2060.073006545259
programme	-2058.034387633754
cav	-2055.9152850912287
bin	-2051.4790259557612
Ce	-2049.225886977361
sorte	-2049.0242957009464
ante	-2046.52591655662
anne	-2044.656815957294
parti	-2043.814229852665
jou	-2040.949919878778
Ci	-2037.3838889797416
rien	-2016.220598609044
poste	-2015.7742297013606
feu	-2011.1102932030926
rer	-2008.582573432159
ssi	-1992.481904786826
Lan	-1985.0263432936576
pin	-1983.4801885359514
dix	-1975.1059640554074
kh	-1967.1151087695039
ec	-1967.0244459869532
tent	-1954.7991021097255
Sud	-1944.3041710160664
Ã¨ne	-1940.4766647772283
vient	-1937.0510738777975
citÃ©	-1934.1905134378194
confi	-1932.8571822962422
las	-1929.9203167079295
garde	-1928.0157968876817
dd	-1923.3564285922596
renfor	-1910.7943166813834
contra	-1908.2631452023406
genre	-1899.1541729354328
soli	-1896.624154228503
championnat	-1894.658894025572
domaine	-1885.0383878685345
fs	-1864.467693505965
Ã©t	-1863.4908914649834
usage	-1862.2951128113673
graphique	-1854.7546760556304
rin	-1854.3825789571029
sie	-1853.9050481919196
igno	-1851.8643747481758
lÃł	-1849.4444560926227
mai	-1848.9334653673116
iso	-1845.9254921217453
lier	-1837.4904198597944
san	-1837.2857764070345
beau	-1833.2751595179484
Bou	-1827.6904436692485
xe	-1825.9517300631555
essa	-1822.1619450838468
verti	-1818.9724605915767
cep	-1813.5856196915793
Est	-1811.4932755251875
taille	-1810.9049136012454
outre	-1807.4266785307295
ologie	-1805.7146201886678
gro	-1805.4658970437774
wo	-1802.119704657281
mine	-1797.2292312024513
jours	-1794.6678983124366
hou	-1794.507043066061
fau	-1791.938610591007
voie	-1791.4844672598447
gne	-1785.4949390529573
juge	-1778.6632433744428
salle	-1776.5240031937205
prÃ©	-1772.779751729462
saint	-1770.7028197098934
Vo	-1766.3182447967783
gou	-1764.516054340162
%)	-1750.3998676553124
seconde	-1742.1641711296704
conver	-1717.0747810706152
assa	-1713.279704354053
Ã¨ge	-1709.9096635772519
nationale	-1709.738444009357
vain	-1703.5081965390018
permis	-1701.0154468017263
rur	-1697.4188587759309
hÃ©	-1693.906050286403
vali	-1691.3365123214269
ras	-1685.7863687194267
cite	-1679.4449929885075
bÃ©	-1676.98878942365
chau	-1673.4769309320438
appel	-1666.687662844682
asi	-1665.4884025410342
organisation	-1660.5964209334293
gestion	-1660.3030826099907
quel	-1658.2569383027444
composÃ©	-1658.1722418777076
hau	-1656.3558616084163
plu	-1652.1095372718996
compose	-1650.000152619003
tation	-1648.5493339220732
pris	-1648.2591280924078
meu	-1648.0232066794556
existe	-1641.1459947019493
tique	-1639.3328835931648
dal	-1638.331920375376
courant	-1637.573099275207
atte	-1630.7011659793693
Ã©c	-1623.7314253497311
roche	-1621.7983569411929
wn	-1620.6903567114568
esse	-1612.736194694013
dre	-1611.8438817318065
matchs	-1610.3940892551454
Ã¨te	-1603.4057344998455
comte	-1597.2081999674738
Mou	-1596.4123413582688
amen	-1592.6849400267567
logique	-1592.5448159388282
acte	-1585.571181553616
hiver	-1584.842135288971
mani	-1583.4682651619228
arrive	-1583.1907886962836
mala	-1578.8160716319605
Ã®t	-1578.7121098160367
composition	-1577.0670841907267
cs	-1576.9658735304647
Ku	-1575.4958164099755
zones	-1570.8646690325872
avi	-1565.1805477748464
nement	-1561.0649335756725
indi	-1560.5255190840098
gie	-1556.211078200381
parc	-1555.2381529697877
visite	-1551.4907456560552
dor	-1550.4682832723138
cherche	-1548.9868656495814
ente	-1543.0801904760342
poli	-1542.8616369341291
nan	-1538.8066642751896
nit	-1536.0629241811455
dar	-1533.9053915999955
fou	-1533.5239116077394
alo	-1532.8563505167904
ieu	-1529.2405859000532
association	-1529.077976828466
assi	-1527.370798099326
dispose	-1525.7150989824834
dev	-1522.2493134163115
Tou	-1516.7576541538392
parmi	-1516.2278006010765
compar	-1513.8900384068093
amour	-1513.2696897615401
bleu	-1511.6697172356558
cui	-1509.832703331334
compris	-1509.4901460086473
communication	-1503.1666759613577
fie	-1502.5635926079565
villes	-1492.7521257612111
voy	-1491.3147974325932
mars	-1487.8679130439946
usine	-1487.6294338948796
pes	-1483.6729357301915
enseig	-1477.1834224813606
musÃ©e	-1474.5251486128377
graphie	-1474.285511206789
autant	-1470.6656959849224
demi	-1468.4715134962657
finance	-1468.32350147763
dos	-1466.1553243090852
pied	-1464.903226970278
iti	-1464.8717442229986
situe	-1463.8268290655433
belle	-1460.8410518993417
quer	-1459.81807748746
Italie	-1459.6933211633454
Ou	-1455.6547013790055
intr	-1451.7424975766978
fis	-1450.5270340566517
mie	-1450.069859615492
yeux	-1447.6073965142716
touche	-1443.6304183432671
tions	-1441.312235080945
viv	-1439.6271329640304
bras	-1439.465706010169
pom	-1430.7263809212816
revient	-1430.3763897073443
anima	-1428.2067597265307
Ã©v	-1425.1653428832983
informations	-1423.5223130762706
couche	-1423.0266606392888
telle	-1422.12621987167
inÃ©	-1421.1619092585668
choix	-1416.4467036549468
prince	-1413.9532227150103
trop	-1412.6916102909831
cyc	-1412.2889560365684
Aut	-1412.1045236259138
vingt	-1412.0161302367612
loge	-1411.2000885997954
zu	-1403.816305235492
tours	-1403.5451161316757
enti	-1402.9524157223539
mandat	-1402.6958211268498
tenu	-1395.4446595054535
dent	-1392.23462169333
limite	-1389.5306976827585
Åĵu	-1383.7002072094274
pÃ©	-1380.2143586350826
Cla	-1373.8501857858541
asse	-1370.107044369756
tori	-1368.989098005847
manche	-1361.0137346703855
vas	-1355.8471437790581
cte	-1351.2504802624449
tir	-1349.8126850594022
importante	-1344.9605267181648
perd	-1344.0871164320272
gri	-1343.247138863845
jet	-1342.478675855442
centrale	-1335.2842094302832
Cou	-1331.9336062504206
bap	-1327.342542230851
aris	-1323.4129457884314
interne	-1322.332649775909
Fon	-1322.0872332490671
Wo	-1321.403955064533
lien	-1321.0687305896931
empor	-1320.8444735586377
manque	-1319.4204146637057
Comme	-1319.2866092069883
fique	-1318.7142821447967
historique	-1317.8534868264371
Ã¨me	-1317.3431409015702
allemand	-1314.5394647039648
iser	-1314.4447337179492
absence	-1306.984430998439
mant	-1306.5255925954589
arme	-1305.4872893340632
