och	-85499.95230429748
Ã¤r	-78468.20461335125
som	-39860.463249109765
till	-35127.95686686423
pÃ¥	-28897.938654523397
runt	-24115.995174884796
havet	-19129.072207443172
tio	-13762.458887906103
det	-12075.821025854264
upp	-11281.001596984785
ng	-10850.39593773562
platt	-9405.468134941257
kan	-8468.44400529665
Ã¥t	-7818.132405826382
sig	-7349.63056989549
Ã¥r	-7254.454624629119
efter	-6866.203924011491
hade	-6613.346761131834
mindre	-6604.421655617025
tu	-6464.362822593934
Ri	-6337.616553149741
kom	-6263.859003433118
rep	-5933.445538395837
lu	-5886.933966988645
ska	-5837.247918777295
Runt	-5533.279518584015
lag	-5387.707422098642
Ja	-4936.634745307475
sin	-4919.006762888601
blev	-4746.196627705525
Fa	-4731.2214592244345
bergig	-4567.8576182768165
talet	-4473.393116184316
eri	-4299.453036072222
gg	-4268.245416127459
bb	-4196.730863580611
Ã¶r	-4192.256935543671
dra	-4066.631336025819
dÃ¥	-4001.6468105386684
bil	-3970.443953207758
mellan	-3961.2396316892828
tan	-3894.714003918691
bli	-3762.272182331301
sedan	-3701.9236032302333
finns	-3681.967107658639
norr	-3606.9591476935593
kon	-3590.51880767727
bri	-3566.739471285431
tag	-3542.9709747228717
andra	-3541.022380161604
kap	-3533.355757776484
sta	-3505.0406026564747
kt	-3500.49210081372
sv	-3497.9743870132857
dock	-3481.2888003945673
Äģr	-3454.960048362583
sla	-3361.48395615185
Ku	-3332.335725691031
Äģn	-3276.9917792450265
iti	-3268.988886691309
sÃ¥	-3192.440838709301
genom	-3182.91495091323
fic	-3070.806984211599
olika	-3059.764860932396
kol	-3056.8219208794826
Tra	-3019.7780784529114
kr	-3014.3421480735224
sitt	-2992.0054182087006
alla	-2980.8311340208897
Ã¤g	-2951.842159592773
kh	-2929.087582556269
bland	-2926.3894259114486
Ã¶m	-2884.390959536819
tid	-2876.895798383843
Ã¤n	-2860.6023517544745
pho	-2778.100102128207
isk	-2757.322640284819
ien	-2732.6705960024674
expe	-2727.220618117005
kl	-2675.1302418630407
Ã¥l	-2666.264338447857
cra	-2660.6739851552356
stre	-2658.3289738808694
tte	-2633.774807729886
rade	-2620.6421616553953
vara	-2588.913075695463
hem	-2583.13371309568
bin	-2582.0638064212603
dd	-2572.922731367242
kar	-2541.6578168626897
nya	-2541.4826142784905
wn	-2537.380585754729
ras	-2521.068284059056
nar	-2490.9704062373294
parti	-2489.4344432493353
utan	-2479.0293833491896
Ã¶n	-2438.319762111426
dal	-2413.37349265292
184	-2409.9719972442667
lite	-2404.5068038060717
gat	-2401.6987147546606
het	-2400.053288592291
dessa	-2361.7848171834157
stora	-2332.699117726945
bara	-2330.4779543801124
styr	-2297.228414744164
fu	-2249.417903788636
fra	-2236.9140711109594
slut	-2236.0723719078615
Ã¤l	-2229.610678079669
kor	-2212.304979661547
annat	-2205.2547454593764
uv	-2156.138174792227
rar	-2151.3946252776277
samt	-2119.7621819763654
eh	-2110.7859814343387
dag	-2096.9121712066126
cro	-2095.682419298815
visa	-2089.089467695006
hl	-2075.676428857432
ologi	-2057.2538557800817
san	-2052.9565398791065
Ã¥n	-2051.0650103832263
gro	-2047.0226995462071
tas	-2045.7723782915955
ende	-2045.7101920921295
opp	-2034.498077481191
Ã¶t	-1980.972113786774
nis	-1971.8102397998014
plo	-1967.4892090151507
wer	-1961.1330098000612
ket	-1960.4352754289573
pla	-1945.1242611743314
gel	-1923.351640787761
Ã¶j	-1916.7636887021795
samma	-1911.2004439444574
pris	-1908.499723080265
ova	-1899.400589896548
ipp	-1897.3177459669973
vik	-1893.612933444818
medan	-1892.4690835875851
las	-1888.4287420997462
ofta	-1884.7832605477975
honom	-1873.9568650133356
ningen	-1871.919248509066
ym	-1870.27673010558
enda	-1868.1058585518076
cla	-1856.5151250661042
Äģl	-1852.0577649975405
dera	-1836.4595954143704
tig	-1834.8494786480317
borg	-1828.0434727796712
inom	-1794.9351281420168
gran	-1785.2491639205648
spa	-1780.0540213552997
Pla	-1769.0332837012193
fru	-1764.4534557384704
sar	-1761.1853073806515
scen	-1735.9679019034454
spel	-1711.4824651126023
Cla	-1641.2513634479672
Ã©n	-1639.0342087645859
iy	-1638.9456525073863
lj	-1637.8356520798443
Det	-1634.5597871719206
kel	-1631.7133090047712
sem	-1622.853521949286
Ã¤s	-1620.2511267092227
kul	-1602.40193772622
sak	-1599.1881398391467
grund	-1596.1165121066686
unda	-1583.0860583793105
ingen	-1579.062185780356
personer	-1573.5445189107063
hans	-1572.2995446588454
Kal	-1565.9630097846991
Sta	-1565.3830327062055
ske	-1562.6008971239066
grav	-1562.433348595147
tj	-1562.0638235149574
vet	-1561.2523437977065
erat	-1561.175630561493
roman	-1560.3256520314876
ws	-1559.6382330375723
plats	-1558.6654910629345
sna	-1556.8143766182477
kat	-1546.526544937633
abo	-1545.4194203721754
tet	-1543.0218214807264
vag	-1534.8299197610847
nen	-1530.934075615996
inten	-1526.047185386624
driv	-1519.595881997655
dre	-1517.262143301325
Bou	-1515.3725656680508
Stra	-1511.8204816084128
AB	-1510.8271358056409
Ã©r	-1507.3443158884334
spr	-1499.8471105186045
hela	-1497.539230579308
nit	-1496.9011173527538
wo	-1494.818892869736
arna	-1491.4825838098973
erb	-1489.9337667015366
kam	-1459.6232875493868
rip	-1446.7349393227296
akt	-1445.656854137982
yt	-1444.4474435592983
Dra	-1436.1254450655988
Ã¶d	-1434.8742065178242
nan	-1434.1378917573143
Gh	-1432.9025926089037
nytt	-1432.7303438806784
barn	-1432.6643874915121
179	-1431.099923168196
