wurde	-29813.24291805164
zu	-29729.534756409583
auf	-24206.20505569382
das	-19593.73337538599
sich	-18918.610260277994
diese	-17972.764017409736
bei	-16271.524692342708
aus	-16033.819605583967
ein	-13642.861285123407
auch	-13479.708467537057
vor	-12488.066460352828
becam	-11916.696279381886
sta	-11313.951591796595
bis	-11168.110827666242
zi	-10808.922489823828
nach	-10356.068062947275
sie	-9483.037634688566
jahr	-9259.503660558254
wo	-8730.928339913262
ende	-8202.671929639411
bau	-8056.168773297901
doch	-7963.951954245459
Ã¼ber	-7691.683475450105
sind	-6461.972386422754
lu	-6116.960252757863
hl	-6099.890627354995
oder	-5954.747366656012
mu	-5779.01760712082
ku	-5600.464945649928
zeit	-5425.231618744918
fu	-5421.223040883795
wie	-5357.069116930525
durch	-5216.160093582114
rei	-5178.16691977772
serie	-5164.540162422722
vom	-4932.33355221129
gib	-4794.197816277972
gab	-4741.660684142123
severa	-4592.03450227201
lei	-4508.850651199468
Dec	-4435.689734552443
qui	-4265.372544822836
aber	-4216.295641339487
schw	-4156.158488346081
whil	-4105.31334273202
Ã¤n	-4054.1469981451482
oli	-4037.3873960495557
qua	-3912.5684582221375
nun	-3820.862799011279
gli	-3724.876023595568
Unite	-3713.5349490859026
scha	-3679.6552339904583
sometime	-3644.0123987209317
mehr	-3611.561374946736
gg	-3596.3233062551544
gra	-3575.620501993787
abge	-3569.281051823825
kon	-3564.754797390726
zwei	-3546.5653389003774
pf	-3465.8195189291964
cke	-3409.301982573551
frei	-3408.096315808834
tz	-3400.0196738946292
hm	-3378.941109339216
gegen	-3332.801719628988
kam	-3320.491098738732
countr	-3295.3189041697105
pla	-3275.1514070527905
Ni	-3265.5820962423963
geb	-3227.1903485243383
gel	-3222.5061770398543
ihn	-3213.125872358418
wer	-3100.795886618008
halb	-3064.2080239741776
xi	-3059.1431013774145
lieg	-3048.9587322892717
childre	-2964.1997115744407
Ri	-2933.2622550838155
weil	-2930.5707270153525
mai	-2920.552963467934
haus	-2902.036757172832
erst	-2870.404086199099
kar	-2859.029086179409
Ja	-2820.9662382062525
buil	-2815.756644517307
hin	-2768.2237303678894
Ã¶r	-2715.7006814821107
toget	-2697.4077996746314
dar	-2679.2604011521616
waren	-2675.2904503340014
ihr	-2673.2892566247706
voll	-2671.2373360497536
nie	-2650.1758188067424
acht	-2644.350593694002
Howe	-2640.851498099118
namen	-2599.4751595750304
kol	-2579.4952367093183
Ã¤r	-2577.4297883978998
welche	-2551.131800001823
lich	-2535.155136105573
Ki	-2498.8588138608907
centur	-2449.0195005258847
Spa	-2423.953264761633
para	-2408.0598175856617
kel	-2392.9797098654735
kor	-2376.3575803512103
Wa	-2365.972281036515
ober	-2350.2535025829775
hatte	-2349.719541223122
stark	-2340.841436453434
grund	-2332.935287629001
ect	-2300.1030052911283
bach	-2287.7557810500102
kat	-2284.4864711794316
damit	-2255.047332887828
kal	-2226.1712363455463
weg	-2201.6837790862346
amt	-2178.147218976602
trat	-2176.5382648875466
schl	-2171.831369160861
isch	-2166.729010596666
bri	-2166.56564640901
kl	-2151.3536086052845
