False Friend,Wrong Translation,Correct Translation
actual,actual,current
adept,adept,follower
arc,arc,"bow (weapon), arc, arch"
car,car,I carry
far,far,lighthouse
pom,pom,Fruit bearing tree
pregnant,pregnant,"short but informative; remarkable, prominent"
prospect,prospect,"brochure, leaflet, prospectus"
